"Ngày","Đóng cửa","Mở cửa","Cao nhất","Thấp nhất","KL","% Thay đổi"
"01/03/2023","76,900.0","75,100.0","77,000.0","75,000.0","1.64M","1.85%"
"28/02/2023","75,500.0","75,500.0","75,900.0","75,100.0","1.03M","0.40%"
"27/02/2023","75,200.0","74,700.0","75,900.0","74,000.0","1.11M","0.67%"
"24/02/2023","74,700.0","75,700.0","76,000.0","74,500.0","1.68M","-1.32%"
"23/02/2023","75,700.0","75,500.0","76,900.0","74,400.0","2.33M","0.26%"
"22/02/2023","75,500.0","76,300.0","76,700.0","75,500.0","1.30M","-2.20%"
"21/02/2023","77,200.0","77,500.0","77,600.0","76,700.0","888.30K","-0.39%"
"20/02/2023","77,500.0","76,000.0","77,500.0","75,500.0","1.39M","1.97%"
"17/02/2023","76,000.0","76,100.0","76,400.0","75,300.0","777.00K","-0.65%"
"16/02/2023","76,500.0","76,000.0","76,500.0","75,600.0","691.30K","0.66%"
"15/02/2023","76,000.0","74,700.0","76,000.0","74,400.0","1.44M","1.74%"
"14/02/2023","74,700.0","75,300.0","75,700.0","74,400.0","1.07M","-0.80%"
"13/02/2023","75,300.0","75,900.0","75,900.0","74,100.0","1.57M","-0.79%"
"10/02/2023","75,900.0","75,000.0","75,900.0","75,000.0","1.24M","1.20%"
"09/02/2023","75,000.0","75,800.0","76,000.0","75,000.0","1.59M","-1.06%"
"08/02/2023","75,800.0","76,200.0","76,600.0","75,700.0","1.55M","-0.39%"
"07/02/2023","76,100.0","77,600.0","77,600.0","76,100.0","1.27M","-1.68%"
"06/02/2023","77,400.0","75,900.0","77,500.0","75,900.0","1.91M","1.84%"
"03/02/2023","76,000.0","77,000.0","77,100.0","75,900.0","1.86M","-0.91%"
"02/02/2023","76,700.0","77,400.0","77,500.0","76,700.0","1.49M","-0.65%"
"01/02/2023","77,200.0","77,700.0","77,800.0","76,900.0","1.81M","0.13%"
"31/01/2023","77,100.0","79,200.0","79,500.0","76,900.0","4.82M","-2.90%"
"30/01/2023","79,400.0","80,000.0","80,000.0","79,400.0","1.61M","-0.75%"
"27/01/2023","80,000.0","81,400.0","81,900.0","79,600.0","2.33M","-1.60%"
"19/01/2023","81,300.0","80,800.0","81,500.0","80,000.0","2.63M","0.00%"
"18/01/2023","81,300.0","80,900.0","81,500.0","80,700.0","1.30M","0.49%"
"17/01/2023","80,900.0","80,200.0","81,000.0","79,400.0","1.67M","1.89%"
"16/01/2023","79,400.0","80,600.0","80,800.0","79,400.0","654.70K","-1.49%"
"13/01/2023","80,600.0","80,200.0","81,100.0","80,100.0","1.45M","0.75%"
"12/01/2023","80,000.0","79,900.0","80,200.0","79,300.0","684.90K","0.76%"
"11/01/2023","79,400.0","81,000.0","81,600.0","79,400.0","1.53M","-1.98%"
"10/01/2023","81,000.0","80,900.0","81,500.0","80,600.0","1.20M","0.37%"
"09/01/2023","80,700.0","79,900.0","80,700.0","79,600.0","948.30K","1.13%"
"06/01/2023","79,800.0","81,000.0","81,200.0","79,600.0","1.27M","-1.72%"
"05/01/2023","81,200.0","79,300.0","81,400.0","79,000.0","2.47M","2.40%"
"04/01/2023","79,300.0","78,700.0","79,300.0","78,600.0","1.09M","1.02%"
"03/01/2023","78,500.0","76,500.0","78,500.0","76,200.0","1.50M","3.15%"
"30/12/2022","76,100.0","78,000.0","78,000.0","76,100.0","1.20M","-1.17%"
"29/12/2022","77,000.0","77,400.0","78,200.0","77,000.0","1.33M","0.00%"
"28/12/2022","77,000.0","76,700.0","78,000.0","76,600.0","1.19M","0.52%"
"27/12/2022","76,600.0","76,800.0","78,000.0","76,000.0","1.59M","0.79%"
"26/12/2022","76,000.0","76,400.0","77,600.0","75,900.0","1.66M","-0.26%"
"23/12/2022","76,200.0","77,100.0","78,200.0","76,200.0","1.56M","-1.04%"
"22/12/2022","77,000.0","79,300.0","79,500.0","77,000.0","1.59M","-1.66%"
"21/12/2022","78,300.0","78,300.0","79,184.2","78,103.5","2.31M","1.27%"
"20/12/2022","77,317.6","75,942.1","78,300.0","75,549.2","3.03M","2.21%"
"19/12/2022","75,647.4","77,121.1","77,121.1","75,647.4","2.42M","-1.28%"
"16/12/2022","76,629.9","76,335.1","77,415.8","76,236.9","3.00M","0.52%"
"15/12/2022","76,236.9","76,138.6","77,808.8","75,942.1","2.60M","0.13%"
"14/12/2022","76,138.6","78,005.3","78,005.3","76,138.6","3.52M","-0.64%"
"13/12/2022","76,629.9","77,219.3","78,005.3","75,843.9","3.61M","-0.64%"
"12/12/2022","77,121.1","78,889.5","80,461.3","77,022.8","3.14M","-1.87%"
"09/12/2022","78,594.7","79,577.2","80,363.1","78,594.7","2.41M","-1.23%"
"08/12/2022","79,577.2","81,542.0","82,524.5","79,577.2","1.60M","-1.82%"
"07/12/2022","81,050.8","81,542.0","82,819.2","80,363.1","1.84M","0.00%"
"06/12/2022","81,050.8","83,506.9","83,605.1","81,050.8","1.40M","-2.94%"
"05/12/2022","83,506.9","82,622.7","84,096.4","82,622.7","2.07M","1.19%"
"02/12/2022","82,524.5","80,854.3","82,524.5","80,559.6","2.52M","1.94%"
"01/12/2022","80,952.6","80,166.6","81,443.8","80,166.6","2.22M","-0.48%"
"30/11/2022","81,345.5","81,542.0","81,542.0","80,068.4","2.00M","-0.24%"
"29/11/2022","81,542.0","79,871.9","81,836.8","79,085.9","2.40M","1.59%"
"28/11/2022","80,264.9","80,559.6","81,935.0","80,264.9","2.30M","-0.61%"
"25/11/2022","80,756.1","79,871.9","81,247.3","79,577.2","2.60M","1.23%"
"24/11/2022","79,773.6","77,612.3","79,773.6","77,514.0","2.88M","2.27%"
"23/11/2022","78,005.3","78,103.5","78,300.0","76,924.6","773.10K","-0.13%"
"22/11/2022","78,103.5","76,138.6","78,791.2","76,040.4","2.28M","2.05%"
"21/11/2022","76,531.6","75,647.4","76,531.6","75,549.2","1.79M","1.17%"
"18/11/2022","75,647.4","75,647.4","76,433.4","74,370.3","2.23M","1.32%"
"17/11/2022","74,665.0","75,450.9","76,924.6","73,780.8","2.60M","2.01%"
"16/11/2022","73,191.3","74,173.8","77,415.8","72,503.6","3.54M","-3.25%"
"15/11/2022","75,647.4","77,612.3","78,005.3","75,156.2","2.09M","-2.53%"
"14/11/2022","77,612.3","76,629.9","80,559.6","74,763.2","2.60M","0.77%"
"11/11/2022","77,022.8","77,514.0","78,987.7","77,022.8","1.56M","0.00%"
"10/11/2022","77,022.8","79,478.9","79,577.2","75,647.4","2.64M","-3.09%"
"09/11/2022","79,478.9","80,559.6","80,756.1","78,594.7","2.70M","-1.82%"
"08/11/2022","80,952.6","80,756.1","80,952.6","78,201.7","2.30M","0.24%"
"07/11/2022","80,756.1","78,693.0","80,756.1","78,594.7","2.64M","2.75%"
"04/11/2022","78,594.7","78,496.5","79,577.2","76,629.9","2.91M","0.00%"
"03/11/2022","78,594.7","76,629.9","79,282.4","76,629.9","1.28M","2.17%"
"02/11/2022","76,924.6","78,791.2","78,889.5","76,924.6","1.83M","-2.37%"
"01/11/2022","78,791.2","77,121.1","81,050.8","77,121.1","3.18M","2.17%"
"31/10/2022","77,121.1","76,335.1","77,121.1","75,942.1","1.57M","0.64%"
"28/10/2022","76,629.9","77,121.1","77,219.3","76,335.1","1.44M","-0.64%"
"27/10/2022","77,121.1","74,665.0","77,121.1","74,665.0","2.28M","3.29%"
"26/10/2022","74,665.0","74,665.0","75,058.0","74,272.0","824.70K","0.00%"
"25/10/2022","74,665.0","72,798.4","75,450.9","72,798.4","1.66M","2.70%"
"24/10/2022","72,700.1","75,843.9","75,843.9","72,700.1","1.58M","-3.90%"
"21/10/2022","75,647.4","76,138.6","77,022.8","75,156.2","2.10M","-0.65%"
"20/10/2022","76,138.6","75,254.4","76,138.6","74,468.5","2.29M","1.17%"
"19/10/2022","75,254.4","74,763.2","75,450.9","74,763.2","1.04M","0.13%"
"18/10/2022","75,156.2","73,682.6","75,647.4","73,387.8","3.14M","3.24%"
"17/10/2022","72,798.4","72,503.6","73,780.8","72,405.4","1.68M","0.14%"
"14/10/2022","72,700.1","72,700.1","73,191.3","72,405.4","1.44M","0.27%"
"13/10/2022","72,503.6","69,752.8","72,503.6","69,556.3","3.17M","3.07%"
"12/10/2022","70,342.3","69,261.6","70,440.5","68,868.6","1.27M","1.99%"
"11/10/2022","68,966.9","69,261.6","70,244.0","68,377.4","1.72M","-0.43%"
"10/10/2022","69,261.6","67,296.7","70,244.0","66,216.1","1.66M","1.00%"
"07/10/2022","68,573.9","68,082.7","70,047.5","65,331.9","2.69M","-0.29%"
"06/10/2022","68,770.4","70,047.5","70,145.8","68,770.4","1.50M","-2.23%"
"05/10/2022","70,342.3","69,752.8","70,735.2","69,752.8","1.49M","0.99%"
"04/10/2022","69,654.6","70,538.8","70,538.8","68,770.4","1.63M","-0.14%"
"03/10/2022","69,752.8","70,637.0","71,226.5","69,752.8","2.04M","-1.80%"
"30/09/2022","71,030.0","70,637.0","72,012.4","70,637.0","2.35M","-0.55%"
"29/09/2022","71,423.0","71,619.4","72,208.9","70,931.7","2.03M","1.25%"
"28/09/2022","70,538.8","70,735.2","71,717.7","69,654.6","2.15M","-0.83%"
"27/09/2022","71,128.2","73,191.3","73,584.3","71,030.0","2.42M","-2.16%"
"26/09/2022","72,700.1","74,468.5","74,861.5","72,405.4","3.39M","-3.52%"
"23/09/2022","75,352.7","75,647.4","75,942.1","75,156.2","1.40M","-0.26%"
"22/09/2022","75,549.2","75,254.4","75,745.7","74,665.0","1.03M","0.00%"
"21/09/2022","75,549.2","74,370.3","76,236.9","74,272.0","2.48M","1.45%"
"20/09/2022","74,468.5","73,977.3","74,861.5","73,977.3","1.14M","0.80%"
"19/09/2022","73,879.0","74,272.0","74,370.3","73,584.3","1.42M","-1.05%"
"16/09/2022","74,665.0","73,387.8","74,665.0","73,093.1","2.31M","2.01%"
"15/09/2022","73,191.3","72,798.4","73,879.0","72,798.4","1.21M","0.68%"
"14/09/2022","72,700.1","73,584.3","73,682.6","72,503.6","2.04M","-2.25%"
"13/09/2022","74,370.3","73,879.0","74,665.0","73,879.0","1.56M","0.53%"
"12/09/2022","73,977.3","74,665.0","74,861.5","73,977.3","1.39M","-0.79%"
"09/09/2022","74,566.7","74,566.7","75,156.2","74,173.8","1.19M","0.26%"
"08/09/2022","74,370.3","74,665.0","75,156.2","73,879.0","1.35M","0.00%"
"07/09/2022","74,370.3","76,433.4","76,433.4","74,370.3","2.92M","-2.70%"
"06/09/2022","76,433.4","76,138.6","77,612.3","75,942.1","2.65M","0.39%"
"05/09/2022","76,138.6","74,173.8","76,433.4","74,173.8","3.17M","2.65%"
"31/08/2022","74,173.8","74,566.7","75,058.0","74,173.8","1.66M","-0.66%"
"30/08/2022","74,665.0","74,173.8","75,058.0","74,173.8","2.23M","0.66%"
"29/08/2022","74,173.8","74,763.2","74,959.7","74,075.5","3.31M","-1.82%"
"26/08/2022","75,549.2","76,433.4","76,728.1","74,861.5","2.46M","-1.28%"
"25/08/2022","76,531.6","76,531.6","76,924.6","75,647.4","2.18M","0.26%"
"24/08/2022","76,335.1","74,468.5","76,924.6","74,468.5","5.44M","2.51%"
"23/08/2022","74,468.5","72,405.4","74,566.7","72,307.1","4.55M","2.85%"
"22/08/2022","72,405.4","72,798.4","73,486.1","72,405.4","2.07M","-0.54%"
"19/08/2022","72,798.4","72,110.7","73,191.3","71,619.4","5.23M","0.95%"
"18/08/2022","72,110.7","71,324.7","72,307.1","71,324.7","4.23M","1.10%"
"17/08/2022","71,324.7","70,538.8","71,324.7","70,440.5","1.32M","1.11%"
"16/08/2022","70,538.8","70,538.8","71,128.2","70,440.5","1.69M","0.42%"
"15/08/2022","70,244.0","70,735.2","70,735.2","70,047.5","2.53M","-0.56%"
"12/08/2022","70,637.0","69,752.8","70,637.0","69,752.8","1.80M","1.13%"
"11/08/2022","69,851.1","71,324.7","71,324.7","69,458.1","3.88M","-1.93%"
"10/08/2022","71,226.5","70,735.2","71,324.7","70,735.2","1.54M","0.69%"
"09/08/2022","70,735.2","70,931.7","71,128.2","70,735.2","2.13M","-0.28%"
"08/08/2022","70,931.7","71,226.5","71,226.5","70,833.5","2.80M","-0.55%"
"05/08/2022","71,324.7","72,012.4","72,110.7","71,324.7","2.14M","-0.95%"
"04/08/2022","72,012.4","72,110.7","72,110.7","71,521.2","1.72M","-0.14%"
"03/08/2022","72,110.7","71,521.2","72,208.9","71,226.5","3.13M","0.00%"
"02/08/2022","72,110.7","72,110.7","72,896.6","71,423.0","2.60M","-0.14%"
"01/08/2022","72,208.9","71,521.2","72,208.9","70,931.7","2.53M","0.96%"
"29/07/2022","71,521.2","71,423.0","72,307.1","71,128.2","2.58M","0.28%"
"28/07/2022","71,324.7","71,226.5","71,521.2","71,030.0","1.22M","0.55%"
"27/07/2022","70,931.7","70,735.2","71,324.7","70,538.8","789.50K","0.28%"
"26/07/2022","70,735.2","71,619.4","71,717.7","70,538.8","1.15M","-1.23%"
"25/07/2022","71,619.4","70,735.2","71,619.4","70,538.8","1.24M","1.25%"
"22/07/2022","70,735.2","71,914.2","71,914.2","70,735.2","712.30K","-1.64%"
"21/07/2022","71,914.2","71,226.5","72,307.1","70,931.7","1.72M","0.27%"
"20/07/2022","71,717.7","71,914.2","72,307.1","71,521.2","1.17M","0.27%"
"19/07/2022","71,521.2","70,735.2","71,619.4","70,342.3","1.53M","1.53%"
"18/07/2022","70,440.5","70,735.2","70,931.7","70,244.0","1.11M","0.14%"
"15/07/2022","70,342.3","71,128.2","71,717.7","70,342.3","1.48M","-1.10%"
"14/07/2022","71,128.2","71,030.0","71,914.2","70,931.7","982.30K","-0.14%"
"13/07/2022","71,226.5","71,914.2","72,307.1","71,128.2","1.42M","-1.09%"
"12/07/2022","72,012.4","71,717.7","72,601.9","71,324.7","976.10K","0.41%"
"11/07/2022","71,717.7","70,931.7","73,387.8","70,735.2","2.56M","0.00%"
"08/07/2022","71,717.7","71,717.7","72,012.4","71,226.5","1.70M","0.00%"
"07/07/2022","71,717.7","69,458.1","71,717.7","68,770.4","3.05M","3.25%"
"06/07/2022","69,458.1","69,752.8","70,244.0","68,279.2","2.36M","0.04%"
"05/07/2022","69,428.1","71,517.6","71,612.6","69,333.1","2.59M","-2.66%"
"04/07/2022","71,327.6","70,282.9","71,992.5","70,092.9","3.14M","1.90%"
"01/07/2022","69,998.0","68,668.3","70,187.9","68,383.3","2.86M","2.08%"
"30/06/2022","68,573.3","68,668.3","71,042.7","68,573.3","3.58M","-0.14%"
"29/06/2022","68,668.3","67,053.7","69,048.2","67,053.7","1.94M","2.12%"
"28/06/2022","67,243.6","67,053.7","69,048.2","66,578.8","3.04M","-0.42%"
"27/06/2022","67,528.6","68,193.4","68,478.3","66,768.7","1.80M","-0.56%"
"24/06/2022","67,908.5","67,433.6","69,238.1","67,338.6","1.68M","1.13%"
"23/06/2022","67,148.6","67,053.7","68,383.3","66,483.8","1.10M","0.14%"
"22/06/2022","67,053.7","69,428.1","69,713.0","67,053.7","2.21M","-4.21%"
"21/06/2022","69,998.0","65,724.0","70,092.9","65,344.1","4.84M","6.81%"
"20/06/2022","65,534.0","63,064.6","66,198.9","63,064.6","2.59M","3.45%"
"17/06/2022","63,349.6","63,539.5","65,154.1","61,924.9","2.50M","-1.91%"
"16/06/2022","64,584.3","61,829.9","64,869.2","61,735.0","2.22M","5.43%"
"15/06/2022","61,260.1","62,779.7","63,159.6","61,260.1","2.68M","-2.42%"
"14/06/2022","62,779.7","62,209.9","64,109.4","62,114.9","1.39M","-0.45%"
"13/06/2022","63,064.6","64,964.2","64,964.2","62,874.7","2.38M","-4.46%"
"10/06/2022","66,008.9","66,483.8","66,673.8","66,008.9","1.48M","-1.00%"
"09/06/2022","66,673.8","67,433.6","67,528.6","66,673.8","1.05M","-1.13%"
"08/06/2022","67,433.6","67,148.6","67,813.5","67,148.6","1.70M","0.57%"
"07/06/2022","67,053.7","66,768.7","67,148.6","66,483.8","1.32M","-0.28%"
"06/06/2022","67,243.6","66,673.8","67,623.5","66,483.8","1.43M","0.71%"
"03/06/2022","66,768.7","67,433.6","67,718.5","66,483.8","1.05M","-1.13%"
"02/06/2022","67,528.6","68,383.3","68,383.3","67,243.6","1.49M","-1.11%"
"01/06/2022","68,288.4","67,908.5","68,953.2","67,718.5","1.23M","0.28%"
"31/05/2022","68,098.4","68,478.3","68,763.3","68,098.4","2.06M","-1.10%"
"30/05/2022","68,858.2","69,238.1","69,238.1","68,383.3","2.12M","-0.68%"
"27/05/2022","69,333.1","67,718.5","69,618.0","67,148.6","3.46M","2.38%"
"26/05/2022","67,718.5","68,288.4","68,288.4","67,148.6","1.53M","-0.83%"
"25/05/2022","68,288.4","65,439.1","68,668.3","65,439.1","2.36M","4.35%"
"24/05/2022","65,439.1","63,349.6","65,439.1","63,159.6","2.03M","3.92%"
"23/05/2022","62,969.7","65,059.2","65,249.1","62,874.7","2.02M","-2.64%"
"20/05/2022","64,679.3","65,534.0","66,388.8","64,584.3","1.30M","-1.30%"
"19/05/2022","65,534.0","66,008.9","66,483.8","65,534.0","1.45M","-1.85%"
"18/05/2022","66,768.7","66,483.8","66,958.7","66,008.9","1.98M","0.43%"
"17/05/2022","66,483.8","62,304.8","66,483.8","61,924.9","2.11M","6.38%"
"16/05/2022","62,494.8","63,254.6","64,204.4","62,399.8","1.98M","-0.45%"
"13/05/2022","62,779.7","63,634.5","64,394.3","62,589.8","4.59M","-0.60%"
"12/05/2022","63,159.6","66,293.9","66,293.9","63,159.6","3.19M","-4.32%"
"11/05/2022","66,008.9","67,053.7","67,528.6","66,008.9","1.79M","-1.56%"
"10/05/2022","67,053.7","66,483.8","68,288.4","66,483.8","3.11M","0.86%"
"09/05/2022","66,483.8","66,673.8","67,908.5","66,103.9","2.39M","-0.28%"
"06/05/2022","66,673.8","67,813.5","68,003.4","66,008.9","2.11M","-2.64%"
"05/05/2022","68,478.3","69,523.1","69,523.1","67,908.5","1.55M","-0.55%"
"04/05/2022","68,858.2","70,472.8","70,662.8","68,858.2","1.76M","-2.29%"
"29/04/2022","70,472.8","70,662.8","71,232.7","70,282.9","1.63M","-0.13%"
"28/04/2022","70,567.8","71,137.7","71,137.7","70,092.9","1.91M","-0.93%"
"27/04/2022","71,232.7","71,422.6","71,992.5","69,998.0","1.83M","-1.19%"
"26/04/2022","72,087.4","69,808.0","72,182.4","67,338.6","3.88M","3.27%"
"25/04/2022","69,808.0","72,182.4","72,467.4","69,333.1","2.66M","-3.16%"
"22/04/2022","72,087.4","71,897.5","72,657.3","71,707.5","2.80M","1.20%"
"21/04/2022","71,232.7","71,517.6","72,657.3","71,232.7","4.62M","-0.79%"
"20/04/2022","71,802.5","72,182.4","72,847.3","71,802.5","1.93M","-0.53%"
"19/04/2022","72,182.4","73,227.2","73,797.0","72,182.4","1.67M","-1.30%"
"18/04/2022","73,132.2","72,657.3","73,987.0","72,562.3","2.56M","0.65%"
"15/04/2022","72,657.3","72,657.3","73,702.1","72,182.4","1.36M","0.26%"
"14/04/2022","72,467.4","73,607.1","74,082.0","72,467.4","1.81M","-1.17%"
